date,SGD
2021-08-15T21:00:00,-55.35
2021-08-16T21:00:00,-54.57
2021-08-17T21:00:00,-51.52
2021-08-18T21:00:00,-48.39
2021-08-19T21:00:00,-45.63
2021-08-22T21:00:00,-49.66
2021-08-23T21:00:00,-50.81
2021-08-24T21:00:00,-49.4
2021-08-25T21:00:00,-47.04
2021-08-26T21:00:00,-47.91
2021-08-29T21:00:00,-46.18
2021-08-30T21:00:00,-46.57
2021-08-31T21:00:00,-48.66
2021-09-01T21:00:00,-48.14
2021-09-02T21:00:00,-53.89
2021-09-05T21:00:00,-52.89
2021-09-06T21:00:00,-49.03
2021-09-07T21:00:00,-46.34
2021-09-08T21:00:00,-46.4
2021-09-09T21:00:00,-42.41
2021-09-12T21:00:00,-42.33
2021-09-13T21:00:00,-43.54
2021-09-14T21:00:00,-41.71
2021-09-15T21:00:00,-35.76
2021-09-16T21:00:00,-33.78
2021-09-19T21:00:00,-35.91
2021-09-20T21:00:00,-37.87
2021-09-21T21:00:00,-38.47
2021-09-22T21:00:00,-35.28
2021-09-23T21:00:00,-36.67
2021-09-26T21:00:00,-37.99
2021-09-27T21:00:00,-35.16
2021-09-28T21:00:00,-28.13
2021-09-29T21:00:00,-33.0
2021-09-30T21:00:00,-36.16
2021-10-03T21:00:00,-40.03
2021-10-04T21:00:00,-38.9
2021-10-05T21:00:00,-38.75
2021-10-06T21:00:00,-38.55
2021-10-07T21:00:00,-36.01
2021-10-10T21:00:00,-35.01
2021-10-11T21:00:00,-35.86
2021-10-12T21:00:00,-38.97
2021-10-13T21:00:00,-40.31
2021-10-14T21:00:00,-38.46
2021-10-17T21:00:00,-38.54
2021-10-18T21:00:00,-40.04
2021-10-19T21:00:00,-44.68
2021-10-20T21:00:00,-45.34
2021-10-21T21:00:00,-48.28
2021-10-24T21:00:00,-48.74
2021-10-25T21:00:00,-46.04
2021-10-26T21:00:00,-47.53
2021-10-27T21:00:00,-47.01
2021-10-28T21:00:00,-44.99
2021-10-31T21:00:00,-47.22
2021-11-01T21:00:00,-41.43
2021-11-02T21:00:00,-41.14
2021-11-03T21:00:00,-42.3
2021-11-04T21:00:00,-44.87
2021-11-07T22:00:00,-46.29
2021-11-08T22:00:00,-45.34
2021-11-09T22:00:00,-46.59
2021-11-10T22:00:00,-48.33
2021-11-11T22:00:00,-48.58
2021-11-14T22:00:00,-47.62
2021-11-15T22:00:00,-45.43
2021-11-16T22:00:00,-46.84
2021-11-17T22:00:00,-47.58
2021-11-18T22:00:00,-47.32
2021-11-21T22:00:00,-42.4
2021-11-22T22:00:00,-39.39
2021-11-23T22:00:00,-38.59
2021-11-24T22:00:00,-38.49
2021-11-25T22:00:00,-41.14
2021-11-28T22:00:00,-37.96
2021-11-29T22:00:00,-34.41
2021-11-30T22:00:00,-32.05
2021-12-01T22:00:00,-34.21
2021-12-02T22:00:00,-36.06
2021-12-05T22:00:00,-32.88
2021-12-06T22:00:00,-32.45
2021-12-07T22:00:00,-29.86
2021-12-08T22:00:00,-27.9
2021-12-09T22:00:00,-29.37
2021-12-12T22:00:00,-30.86
2021-12-13T22:00:00,-28.75
2021-12-14T22:00:00,-27.99
2021-12-15T22:00:00,-31.79
2021-12-16T22:00:00,-30.15
2021-12-19T22:00:00,-28.07
2021-12-20T22:00:00,-28.17
2021-12-21T22:00:00,-31.93
2021-12-22T22:00:00,-31.25
2021-12-26T22:00:00,-32.59
2021-12-27T22:00:00,-29.4
2021-12-28T22:00:00,-28.61
2021-12-29T22:00:00,-30.37
2021-12-30T22:00:00,-31.41
2022-01-02T22:00:00,-27.25
2022-01-03T22:00:00,-31.48
2022-01-04T22:00:00,-31.38
2022-01-05T22:00:00,-28.27
2022-01-06T22:00:00,-27.82
2022-01-09T22:00:00,-28.09
2022-01-10T22:00:00,-28.66
2022-01-11T22:00:00,-32.1
2022-01-12T22:00:00,-32.54
2022-01-13T22:00:00,-30.42
2022-01-16T22:00:00,-30.46
2022-01-17T22:00:00,-32.25
2022-01-18T22:00:00,-35.58
2022-01-19T22:00:00,-36.06
2022-01-20T22:00:00,-32.36
2022-01-23T22:00:00,-30.35
2022-01-24T22:00:00,-27.79
2022-01-25T22:00:00,-24.47
2022-01-26T22:00:00,-18.35
2022-01-27T22:00:00,-18.32
2022-01-30T22:00:00,-18.43
2022-01-31T22:00:00,-20.58
2022-02-01T22:00:00,-21.0
2022-02-02T22:00:00,-18.36
2022-02-03T22:00:00,-17.06
2022-02-06T22:00:00,-19.85
2022-02-07T22:00:00,-21.62
2022-02-08T22:00:00,-21.26
2022-02-09T22:00:00,-22.29
2022-02-10T22:00:00,-25.64
2022-02-13T22:00:00,-26.68
2022-02-14T22:00:00,-23.14
2022-02-15T22:00:00,-25.76
2022-02-16T22:00:00,-28.79
2022-02-17T22:00:00,-30.25
2022-02-20T22:00:00,-31.04
2022-02-21T22:00:00,-29.54
2022-02-22T22:00:00,-33.44
2022-02-23T22:00:00,-32.98
2022-02-24T22:00:00,-34.34
2022-02-27T22:00:00,-34.55
2022-02-28T22:00:00,-39.79
2022-03-01T22:00:00,-38.44
2022-03-02T22:00:00,-40.03
2022-03-03T22:00:00,-47.09
2022-03-06T22:00:00,-42.81
2022-03-07T22:00:00,-49.12
2022-03-08T22:00:00,-41.91
2022-03-09T22:00:00,-42.54
2022-03-10T22:00:00,-40.09
2022-03-13T21:00:00,-35.13
2022-03-14T21:00:00,-31.68
2022-03-15T21:00:00,-31.73
2022-03-16T21:00:00,-32.93
2022-03-17T21:00:00,-32.4
2022-03-20T21:00:00,-33.41
2022-03-21T21:00:00,-31.97
2022-03-22T21:00:00,-35.6
2022-03-23T21:00:00,-36.69
2022-03-24T21:00:00,-37.41
2022-03-27T21:00:00,-31.77
2022-03-28T21:00:00,-30.37
2022-03-29T21:00:00,-31.66
2022-03-30T21:00:00,-31.86
2022-03-31T21:00:00,-30.81
2022-04-03T21:00:00,-31.27
2022-04-04T21:00:00,-30.58
2022-04-05T21:00:00,-28.99
2022-04-06T21:00:00,-29.59
2022-04-07T21:00:00,-30.95
2022-04-10T21:00:00,-31.87
2022-04-11T21:00:00,-32.89
2022-04-12T21:00:00,-34.39
2022-04-13T21:00:00,-25.6
2022-04-17T21:00:00,-26.85
2022-04-18T21:00:00,-25.94
2022-04-19T21:00:00,-27.74
2022-04-20T21:00:00,-22.4
2022-04-21T21:00:00,-18.77
2022-04-24T21:00:00,-15.82
2022-04-25T21:00:00,-15.49
2022-04-26T21:00:00,-12.26
2022-04-27T21:00:00,-11.36
2022-04-28T21:00:00,-7.65
2022-05-01T21:00:00,-4.8
2022-05-02T21:00:00,-5.06
2022-05-03T21:00:00,0.63
2022-05-04T21:00:00,-3.33
2022-05-05T21:00:00,-2.43
2022-05-08T21:00:00,-0.12
2022-05-09T21:00:00,4.62
2022-05-10T21:00:00,3.54
2022-05-11T21:00:00,7.12
2022-05-12T21:00:00,5.38
2022-05-15T21:00:00,2.12
2022-05-16T21:00:00,3.18
2022-05-17T21:00:00,1.88
2022-05-18T21:00:00,-0.77
2022-05-19T21:00:00,-0.52
